time/s	Ewe/V	
3.363150115591270E+003	1.8021190E-001
3.363156715591103E+003	1.9101879E-001
3.363163115590942E+003	2.0312403E-001
3.363165115590891E+003	2.1700495E-001
3.363166515590856E+003	2.2708629E-001
3.363167915590820E+003	2.3714854E-001
3.363171915590719E+003	2.4940653E-001
3.363172915590694E+003	2.6204640E-001
3.363175515590628E+003	2.7535450E-001
3.363179515590527E+003	2.8637144E-001
3.363179915590517E+003	3.0084425E-001
3.363181715590472E+003	3.1287313E-001
3.363182315590457E+003	3.2698318E-001
3.363182515590452E+003	3.4640121E-001
3.363184115590411E+003	3.2925531E-001
3.363186715590346E+003	3.4031039E-001
3.363187115590335E+003	3.5837281E-001
3.363188715590295E+003	3.7401032E-001
3.363192515590199E+003	3.8626832E-001
3.363193315590179E+003	3.9801079E-001
3.363196315590103E+003	4.1215903E-001
3.363197315590078E+003	3.9088893E-001
3.363198515590047E+003	4.0759569E-001
3.363201715589967E+003	3.9650241E-001
3.363202315589951E+003	4.0906587E-001
3.363205115589881E+003	4.2065561E-001
3.363207715589815E+003	4.0356699E-001
3.363208915589785E+003	4.1565311E-001
3.363211115589729E+003	4.0097025E-001
3.363212115589704E+003	4.1929996E-001
3.363214315589648E+003	4.0625915E-001
3.363214915589633E+003	4.1960546E-001
3.363215115589628E+003	4.0855035E-001
3.363216515589593E+003	4.1928089E-001
3.363217515589567E+003	4.3008777E-001
3.363218115589552E+003	4.1047880E-001
3.363218315589547E+003	3.9814442E-001
3.363218915589532E+003	4.0996328E-001
3.363221115589477E+003	3.9663604E-001
3.363222115589451E+003	4.1403016E-001
3.363223915589406E+003	4.2773926E-001
3.363224115589401E+003	4.3873709E-001
3.363225515589365E+003	4.4931486E-001
3.363226915589330E+003	4.6390224E-001
3.363227515589315E+003	4.4981128E-001
3.363229915589254E+003	4.5989263E-001
3.363231515589214E+003	4.4836017E-001
3.363234715589133E+003	4.5891887E-001
3.363237115589072E+003	4.7048947E-001
3.363237315589067E+003	4.8068538E-001
3.363237715589057E+003	4.9279061E-001
3.363237915589052E+003	4.7931066E-001
3.363238515589037E+003	4.6668988E-001
3.363238915589027E+003	4.4870386E-001
3.363239515589012E+003	4.6147737E-001
3.363240915588976E+003	4.7255158E-001
